Time,Start,Max,Min,End,Tot_trans,Mid,Difindex,Buyindex,PL
1543025700000,490000,490942,489264,490787,3.9545,490103,0,-1,1096
1543025760000,490333,490660,489800,489800,1.9153,490230,-1,-1,1096
1543025820000,489800,490070,489312,489385,0.3578,489691,-1,-2,1096
1543025880000,489400,489735,489241,489686,1.1029,489488,0,-1,1096
1543025940000,489363,489487,488900,488917,0.5068,489193,-1,-1,1096
1543026000000,488907,489483,488814,488814,0.9814,489148,-1,-2,1096
1543026060000,488844,489445,488575,488723,1.0372,489010,-1,-2,1096
1543026120000,488773,489439,488517,488954,1.0111,488978,0,-1,1096
1543026180000,488991,488991,488500,488500,1.0382,488745,-1,-1,1096
1543026240000,488487,488766,488000,488393,1.0304,488383,-1,-2,1096
1543026300000,488011,488405,487935,487962,1.1628,488170,-1,-2,1096
1543026360000,488023,488793,488023,488700,1.1368,488408,0,-1,1096
1543026420000,488544,488890,488167,488169,0.7201,488528,-1,-1,1096
1543026480000,488339,488555,487914,488280,2.8793,488234,-1,-2,1096
1543026540000,488279,488774,487964,488079,1.9393,488369,-1,-2,1096
1543026600000,488334,489285,488269,488933,2.3447,488777,0,-1,1096
1543026660000,489188,490354,488852,489395,2.8402,489603,0,0,1096
1543026720000,489346,489400,488331,488429,1.1173,488865,-1,-1,1096
1543026780000,488429,489399,488298,489399,0.308,488848,0,-1,1096
1543026840000,488540,488540,488310,488310,0.7122,488425,-1,-1,1096
1543026900000,488305,488305,488090,488102,0.4503,488197,-1,-2,1096
1543026960000,488168,488977,488157,488977,0.931,488567,0,-1,1096
1543027020000,488321,488691,488003,488056,0.5048,488347,-1,-1,1096
1543027080000,488106,488157,487954,487954,0.3861,488055,-1,-2,1096
1543027140000,487938,487943,487589,487593,0.3674,487766,-1,-2,1096
1543027200000,487863,487863,487500,487730,1.1948,487681,-1,-2,1096
1543027260000,487750,488000,487750,487788,1.5362,487875,0,-1,1096
1543027320000,487787,487978,487325,487359,0.8454,487651,-1,-1,1096
1543027380000,487608,487676,487277,487490,0.428,487476,-1,-2,1096
1543027440000,487490,487499,486905,486905,1.6939,487202,-1,-2,1096
1543027500000,486905,487500,486533,486753,0.5793,487016,-1,-2,1096
1543027560000,486989,486989,486771,486887,0.3941,486880,-1,-2,1096
1543027620000,486887,486937,486887,486891,0.0992,486912,0,-1,1096
1543027680000,486728,486988,486720,486987,0.3658,486854,0,0,1096
1543027740000,486987,487689,486987,487689,2.3482,487338,0,0,1096
1543027800000,487901,488800,487639,487798,2.1822,488219,-1,-1,1096
1543027860000,488096,488441,487669,487792,1.9915,488055,-1,-2,1096
1543027920000,487792,488786,487782,488786,1.3402,488284,0,-1,1096
1543027980000,488405,488405,487777,487847,0.2716,488091,-1,-1,1096
1543028040000,488263,489549,488048,488300,0.3936,488798,0,-1,1096
1543028100000,488411,488411,487502,487502,1.4828,487956,-1,-1,1096
1543028160000,487501,487505,487500,487500,0.0431,487502,-1,-2,1096
1543028220000,487515,487802,487505,487505,0.145,487653,-1,-2,1096
1543028280000,487500,487500,486500,486517,2.6973,487000,-1,-2,1096
1543028340000,486517,487500,486500,486619,1.7546,487000,0,-1,1096
1543028400000,486673,487145,486572,487145,0.5465,486858,0,0,1096
1543028460000,486814,487787,486803,487333,0.956,487295,0,0,1096
1543028520000,487389,487389,487112,487279,0.9573,487250,-1,-1,1096
1543028580000,487303,487314,487153,487153,0.1617,487233,-1,-2,1096
1543028640000,487153,487153,486316,486478,0.7911,486734,-1,-2,1096
1543028700000,486763,486889,486134,486889,0.3913,486511,0,-1,1096
1543028760000,486700,487292,486700,487292,0.2268,486996,0,0,1096
