Time,Start,Max,Min,End,Tot_trans,Mid,Difindex,Buyindex,PL
1543544280000,481000,481000,480100,480999,7.3431,480550,-1,-2,0
1543544340000,480792,482250,480648,481587,5.2014,481449,0,-1,0
1543544400000,481557,482766,481000,481468,2.5848,481883,-1,-1,0
1543544460000,481143,482308,481138,481205,0.8906,481723,0,-1,0
1543544520000,481553,481565,480213,480696,4.5839,480889,-1,-1,0
1543544580000,480674,480913,480213,480213,6.3279,480563,-1,-2,0
1543544640000,480213,480500,480193,480404,3.2578,480346,0,-1,0
1543544700000,480394,480691,480315,480691,1.2941,480503,0,0,0
1543544760000,480732,481500,480641,481409,2.5165,481070,0,0,0
1543544820000,481192,481500,480661,480661,13.5446,481080,-1,-1,0
1543544880000,480592,480688,480432,480602,1.4331,480560,0,-1,0
1543544940000,480463,480660,480442,480635,2.6428,480551,0,0,0
1543545000000,480453,480645,479771,479773,8.2305,480208,-1,-1,0
1543545060000,479995,479998,479339,479560,4.1472,479668,-1,-2,0
1543545120000,479562,480442,479559,480296,3.0433,480000,0,-1,0
1543545180000,480394,480755,480268,480755,1.0953,480511,0,0,0
1543545240000,480739,481000,480460,480753,0.7697,480730,0,0,0
1543545300000,480753,481439,480607,481439,3.2951,481023,0,0,0
1543545360000,481439,481569,481050,481410,6.2119,481309,-1,-1,0
1543545420000,481409,482039,481409,481863,2.634,481724,0,-1,0
1543545480000,481863,483370,481853,483149,9.9036,482611,1,1,0
1543545540000,483150,483160,482147,483138,3.7197,482653,-1,0,0
1543545600000,482970,483658,482451,482690,4.0577,483054,-1,-2,0
1543545660000,482691,482692,481411,481854,5.0174,482051,-1,-2,0
1543545720000,481853,481853,481514,481799,3.0282,481683,-1,-2,0
1543545780000,481720,482300,481529,482000,3.6189,481914,0,-1,0
1543545840000,482050,484000,481888,484000,3.1727,482944,1,1,0
1543545900000,484000,484901,484000,484000,7.557,484450,0,1,0
1543545960000,484000,484300,483310,483484,5.162,483805,-1,-1,0
1543546020000,483494,484000,483484,483823,3.2242,483742,0,-1,0
1543546080000,483717,485400,483717,484999,10.5513,484558,1,1,0
1543546140000,485003,486500,485003,486215,6.9272,485751,1,2,0
1543546200000,486215,486500,485000,485000,28.4676,485750,-1,0,0
